
Running Polarized for 10000 episodes...
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
  Episode 100/10000 | Reward: 0.003 | ETA: 15940.1min
  Episode 200/10000 | Reward: 0.000 | ETA: 16237.5min
  Episode 300/10000 | Reward: 0.005 | ETA: 16235.0min
  Episode 400/10000 | Reward: 0.004 | ETA: 16162.8min
  Episode 500/10000 | Reward: 0.009 | ETA: 16057.9min
  Episode 600/10000 | Reward: 0.008 | ETA: 15927.6min
  Episode 700/10000 | Reward: 0.004 | ETA: 15788.3min
  Episode 800/10000 | Reward: 0.000 | ETA: 15640.7min
  Episode 900/10000 | Reward: 0.004 | ETA: 15488.4min
  Episode 1000/10000 | Reward: 0.005 | ETA: 15328.9min
  Episode 1100/10000 | Reward: 0.005 | ETA: 15166.4min
  Episode 1200/10000 | Reward: 0.006 | ETA: 15005.8min
  Episode 1300/10000 | Reward: 0.005 | ETA: 14842.9min
  Episode 1400/10000 | Reward: 0.004 | ETA: 14678.3min
  Episode 1500/10000 | Reward: 0.007 | ETA: 14510.2min
  Episode 1600/10000 | Reward: 0.005 | ETA: 14341.5min
  Episode 1700/10000 | Reward: 0.004 | ETA: 14174.8min
  Episode 1800/10000 | Reward: 0.005 | ETA: 14006.4min
  Episode 1900/10000 | Reward: 0.007 | ETA: 13837.6min
  Episode 2000/10000 | Reward: 0.006 | ETA: 13665.8min
  Episode 2100/10000 | Reward: 0.005 | ETA: 13493.7min
  Episode 2200/10000 | Reward: 0.005 | ETA: 13322.2min
  Episode 2300/10000 | Reward: 0.007 | ETA: 13151.0min
  Episode 2400/10000 | Reward: 0.008 | ETA: 12980.0min
  Episode 2500/10000 | Reward: 0.007 | ETA: 12808.2min
  Episode 2600/10000 | Reward: 0.006 | ETA: 12636.0min
  Episode 2700/10000 | Reward: 0.007 | ETA: 12463.8min
  Episode 2800/10000 | Reward: 0.007 | ETA: 12292.0min
  Episode 2900/10000 | Reward: 0.007 | ETA: 12120.5min
  Episode 3000/10000 | Reward: 0.007 | ETA: 11948.6min
  Episode 3100/10000 | Reward: 0.006 | ETA: 11776.9min
  Episode 3200/10000 | Reward: 0.005 | ETA: 11605.1min
  Episode 3300/10000 | Reward: 0.007 | ETA: 11433.7min
  Episode 3400/10000 | Reward: 0.006 | ETA: 11262.2min
  Episode 3500/10000 | Reward: 0.004 | ETA: 11090.4min
  Episode 3600/10000 | Reward: 0.006 | ETA: 10918.9min
  Episode 3700/10000 | Reward: 0.005 | ETA: 10747.9min
