
Running SBMM for 10000 episodes...
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
  Episode 100/10000 | Reward: 0.000 | ETA: 15424.0min
  Episode 200/10000 | Reward: 0.000 | ETA: 16189.7min
  Episode 300/10000 | Reward: 0.000 | ETA: 16376.7min
  Episode 400/10000 | Reward: 0.000 | ETA: 16407.6min
  Episode 500/10000 | Reward: 0.004 | ETA: 16352.0min
  Episode 600/10000 | Reward: 0.005 | ETA: 16256.0min
  Episode 700/10000 | Reward: 0.006 | ETA: 16138.5min
  Episode 800/10000 | Reward: 0.007 | ETA: 16006.8min
  Episode 900/10000 | Reward: 0.006 | ETA: 15860.1min
  Episode 1000/10000 | Reward: 0.006 | ETA: 15707.1min
  Episode 1100/10000 | Reward: 0.005 | ETA: 15546.4min
  Episode 1200/10000 | Reward: 0.006 | ETA: 15389.4min
  Episode 1300/10000 | Reward: 0.006 | ETA: 15224.1min
  Episode 1400/10000 | Reward: 0.006 | ETA: 15059.2min
  Episode 1500/10000 | Reward: 0.006 | ETA: 14891.8min
  Episode 1600/10000 | Reward: 0.006 | ETA: 14723.4min
  Episode 1700/10000 | Reward: 0.006 | ETA: 14553.4min
  Episode 1800/10000 | Reward: 0.006 | ETA: 14382.4min
  Episode 1900/10000 | Reward: 0.006 | ETA: 14211.6min
  Episode 2000/10000 | Reward: 0.005 | ETA: 14039.5min
  Episode 2100/10000 | Reward: 0.006 | ETA: 13866.2min
  Episode 2200/10000 | Reward: 0.007 | ETA: 13692.4min
  Episode 2300/10000 | Reward: 0.006 | ETA: 13517.3min
  Episode 2400/10000 | Reward: 0.005 | ETA: 13342.5min
  Episode 2500/10000 | Reward: 0.007 | ETA: 13167.5min
  Episode 2600/10000 | Reward: 0.006 | ETA: 12992.7min
  Episode 2700/10000 | Reward: 0.006 | ETA: 12817.3min
  Episode 2800/10000 | Reward: 0.007 | ETA: 12641.8min
  Episode 2900/10000 | Reward: 0.006 | ETA: 12466.3min
  Episode 3000/10000 | Reward: 0.006 | ETA: 12290.3min
  Episode 3100/10000 | Reward: 0.006 | ETA: 12114.8min
  Episode 3200/10000 | Reward: 0.006 | ETA: 11939.8min
  Episode 3300/10000 | Reward: 0.005 | ETA: 11763.6min
  Episode 3400/10000 | Reward: 0.006 | ETA: 11587.1min
  Episode 3500/10000 | Reward: 0.007 | ETA: 11410.8min
  Episode 3600/10000 | Reward: 0.006 | ETA: 11234.9min
