
Running Random for 10000 episodes...
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
  Episode 100/10000 | Reward: 0.416 | ETA: 14795.8min
  Episode 200/10000 | Reward: 0.435 | ETA: 14914.9min
  Episode 300/10000 | Reward: 0.462 | ETA: 14835.7min
  Episode 400/10000 | Reward: 0.439 | ETA: 14731.0min
  Episode 500/10000 | Reward: 0.437 | ETA: 14610.2min
  Episode 600/10000 | Reward: 0.444 | ETA: 14476.8min
  Episode 700/10000 | Reward: 0.438 | ETA: 14344.5min
  Episode 800/10000 | Reward: 0.448 | ETA: 14203.3min
  Episode 900/10000 | Reward: 0.409 | ETA: 14061.4min
  Episode 1000/10000 | Reward: 0.456 | ETA: 13912.9min
  Episode 1100/10000 | Reward: 0.435 | ETA: 13763.2min
  Episode 1200/10000 | Reward: 0.463 | ETA: 13609.9min
  Episode 1300/10000 | Reward: 0.458 | ETA: 13457.9min
  Episode 1400/10000 | Reward: 0.445 | ETA: 13308.2min
  Episode 1500/10000 | Reward: 0.425 | ETA: 13158.0min
  Episode 1600/10000 | Reward: 0.436 | ETA: 13006.8min
  Episode 1700/10000 | Reward: 0.432 | ETA: 12853.2min
  Episode 1800/10000 | Reward: 0.434 | ETA: 12700.9min
  Episode 1900/10000 | Reward: 0.416 | ETA: 12549.0min
  Episode 2000/10000 | Reward: 0.474 | ETA: 12395.4min
  Episode 2100/10000 | Reward: 0.438 | ETA: 12243.2min
  Episode 2200/10000 | Reward: 0.451 | ETA: 12089.5min
  Episode 2300/10000 | Reward: 0.457 | ETA: 11935.2min
  Episode 2400/10000 | Reward: 0.456 | ETA: 11781.1min
  Episode 2500/10000 | Reward: 0.433 | ETA: 11625.8min
  Episode 2600/10000 | Reward: 0.485 | ETA: 11471.9min
  Episode 2700/10000 | Reward: 0.432 | ETA: 11317.7min
  Episode 2800/10000 | Reward: 0.435 | ETA: 11163.1min
  Episode 2900/10000 | Reward: 0.467 | ETA: 11008.0min
  Episode 3000/10000 | Reward: 0.457 | ETA: 10853.0min
  Episode 3100/10000 | Reward: 0.438 | ETA: 10696.6min
  Episode 3200/10000 | Reward: 0.457 | ETA: 10541.2min
  Episode 3300/10000 | Reward: 0.452 | ETA: 10386.0min
  Episode 3400/10000 | Reward: 0.465 | ETA: 10230.6min
  Episode 3500/10000 | Reward: 0.458 | ETA: 10075.7min
  Episode 3600/10000 | Reward: 0.447 | ETA: 9920.9min
  Episode 3700/10000 | Reward: 0.452 | ETA: 9765.8min
  Episode 3800/10000 | Reward: 0.488 | ETA: 9610.4min
  Episode 3900/10000 | Reward: 0.456 | ETA: 9455.3min
  Episode 4000/10000 | Reward: 0.457 | ETA: 9300.0min
  Episode 4100/10000 | Reward: 0.450 | ETA: 9145.6min
