
Running Diverse for 10000 episodes...
wandb: WARNING Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
  Episode 100/10000 | Reward: 0.046 | ETA: 14032.3min
  Episode 200/10000 | Reward: 0.025 | ETA: 15060.7min
  Episode 300/10000 | Reward: 0.044 | ETA: 15510.6min
  Episode 400/10000 | Reward: 0.046 | ETA: 15735.3min
  Episode 500/10000 | Reward: 0.026 | ETA: 15815.4min
  Episode 600/10000 | Reward: 0.026 | ETA: 15817.1min
  Episode 700/10000 | Reward: 0.024 | ETA: 15777.2min
  Episode 800/10000 | Reward: 0.014 | ETA: 15708.4min
  Episode 900/10000 | Reward: 0.011 | ETA: 15614.3min
  Episode 1000/10000 | Reward: 0.010 | ETA: 15503.6min
  Episode 1100/10000 | Reward: 0.011 | ETA: 15381.8min
  Episode 1200/10000 | Reward: 0.003 | ETA: 15253.7min
  Episode 1300/10000 | Reward: 0.010 | ETA: 15117.0min
  Episode 1400/10000 | Reward: 0.010 | ETA: 14974.5min
  Episode 1500/10000 | Reward: 0.004 | ETA: 14824.0min
  Episode 1600/10000 | Reward: 0.003 | ETA: 14671.4min
  Episode 1700/10000 | Reward: 0.003 | ETA: 14516.3min
  Episode 1800/10000 | Reward: 0.003 | ETA: 14358.8min
  Episode 1900/10000 | Reward: 0.002 | ETA: 14198.6min
  Episode 2000/10000 | Reward: 0.003 | ETA: 14035.8min
  Episode 2100/10000 | Reward: 0.003 | ETA: 13870.9min
  Episode 2200/10000 | Reward: 0.005 | ETA: 13704.7min
  Episode 2300/10000 | Reward: 0.000 | ETA: 13538.0min
  Episode 2400/10000 | Reward: 0.003 | ETA: 13370.7min
  Episode 2500/10000 | Reward: 0.003 | ETA: 13201.7min
  Episode 2600/10000 | Reward: 0.000 | ETA: 13031.9min
  Episode 2700/10000 | Reward: 0.011 | ETA: 12861.8min
  Episode 2800/10000 | Reward: 0.000 | ETA: 12689.9min
  Episode 2900/10000 | Reward: 0.010 | ETA: 12518.2min
  Episode 3000/10000 | Reward: 0.003 | ETA: 12345.5min
  Episode 3100/10000 | Reward: 0.003 | ETA: 12172.6min
  Episode 3200/10000 | Reward: 0.002 | ETA: 12000.2min
  Episode 3300/10000 | Reward: 0.003 | ETA: 11826.9min
  Episode 3400/10000 | Reward: 0.003 | ETA: 11652.6min
  Episode 3500/10000 | Reward: 0.004 | ETA: 11478.1min
  Episode 3600/10000 | Reward: 0.004 | ETA: 11304.1min
