
Running Polarized for 10000 episodes...
  Episode 100/10000 | Reward: 0.000 | ETA: 16410.4min
  Episode 200/10000 | Reward: 0.000 | ETA: 18338.2min
  Episode 300/10000 | Reward: 0.003 | ETA: 19219.8min
  Episode 400/10000 | Reward: 0.000 | ETA: 19702.8min
  Episode 500/10000 | Reward: 0.005 | ETA: 19975.3min
  Episode 600/10000 | Reward: 0.005 | ETA: 20095.2min
  Episode 700/10000 | Reward: 0.000 | ETA: 20111.9min
  Episode 800/10000 | Reward: 0.000 | ETA: 20066.8min
  Episode 900/10000 | Reward: 0.005 | ETA: 19986.7min
  Episode 1000/10000 | Reward: 0.004 | ETA: 19873.6min
  Episode 1100/10000 | Reward: 0.000 | ETA: 19739.8min
  Episode 1200/10000 | Reward: 0.002 | ETA: 19583.8min
  Episode 1300/10000 | Reward: 0.004 | ETA: 19421.5min
  Episode 1400/10000 | Reward: 0.004 | ETA: 19248.4min
  Episode 1500/10000 | Reward: 0.005 | ETA: 19065.9min
  Episode 1600/10000 | Reward: 0.003 | ETA: 18874.0min
  Episode 1700/10000 | Reward: 0.005 | ETA: 18676.5min
  Episode 1800/10000 | Reward: 0.004 | ETA: 18477.1min
  Episode 1900/10000 | Reward: 0.005 | ETA: 18274.0min
  Episode 2000/10000 | Reward: 0.004 | ETA: 18066.4min
  Episode 2100/10000 | Reward: 0.006 | ETA: 17857.0min
  Episode 2200/10000 | Reward: 0.005 | ETA: 17646.1min
  Episode 2300/10000 | Reward: 0.005 | ETA: 17432.5min
  Episode 2400/10000 | Reward: 0.006 | ETA: 17216.7min
  Episode 2500/10000 | Reward: 0.005 | ETA: 17001.8min
  Episode 2600/10000 | Reward: 0.006 | ETA: 16785.2min
  Episode 2700/10000 | Reward: 0.005 | ETA: 16568.0min
  Episode 2800/10000 | Reward: 0.004 | ETA: 16349.3min
