
Running Random for 10000 episodes...
  Episode 100/10000 | Reward: 0.350 | ETA: 14367.8min
  Episode 200/10000 | Reward: 0.377 | ETA: 14804.7min
  Episode 300/10000 | Reward: 0.389 | ETA: 14870.4min
  Episode 400/10000 | Reward: 0.362 | ETA: 14844.0min
  Episode 500/10000 | Reward: 0.394 | ETA: 14769.6min
  Episode 600/10000 | Reward: 0.390 | ETA: 14665.3min
  Episode 700/10000 | Reward: 0.385 | ETA: 14551.0min
  Episode 800/10000 | Reward: 0.386 | ETA: 14424.1min
  Episode 900/10000 | Reward: 0.387 | ETA: 14294.9min
  Episode 1000/10000 | Reward: 0.377 | ETA: 14159.0min
  Episode 1100/10000 | Reward: 0.419 | ETA: 14016.9min
  Episode 1200/10000 | Reward: 0.390 | ETA: 13870.8min
  Episode 1300/10000 | Reward: 0.403 | ETA: 13726.5min
  Episode 1400/10000 | Reward: 0.409 | ETA: 13580.9min
  Episode 1500/10000 | Reward: 0.384 | ETA: 13430.0min
  Episode 1600/10000 | Reward: 0.428 | ETA: 13280.4min
  Episode 1700/10000 | Reward: 0.379 | ETA: 13129.3min
  Episode 1800/10000 | Reward: 0.385 | ETA: 12980.5min
  Episode 1900/10000 | Reward: 0.410 | ETA: 12829.2min
  Episode 2000/10000 | Reward: 0.404 | ETA: 12676.2min
  Episode 2100/10000 | Reward: 0.430 | ETA: 12521.6min
  Episode 2200/10000 | Reward: 0.376 | ETA: 12367.9min
  Episode 2300/10000 | Reward: 0.369 | ETA: 12213.6min
  Episode 2400/10000 | Reward: 0.408 | ETA: 12058.6min
  Episode 2500/10000 | Reward: 0.370 | ETA: 11903.0min
  Episode 2600/10000 | Reward: 0.426 | ETA: 11747.8min
  Episode 2700/10000 | Reward: 0.427 | ETA: 11591.8min
  Episode 2800/10000 | Reward: 0.392 | ETA: 11434.7min
  Episode 2900/10000 | Reward: 0.386 | ETA: 11277.9min
  Episode 3000/10000 | Reward: 0.394 | ETA: 11121.6min
  Episode 3100/10000 | Reward: 0.406 | ETA: 10963.7min
  Episode 3200/10000 | Reward: 0.408 | ETA: 10806.2min
  Episode 3300/10000 | Reward: 0.398 | ETA: 10648.4min
  Episode 3400/10000 | Reward: 0.420 | ETA: 10490.4min
  Episode 3500/10000 | Reward: 0.410 | ETA: 10332.6min
  Episode 3600/10000 | Reward: 0.375 | ETA: 10174.9min
  Episode 3700/10000 | Reward: 0.432 | ETA: 10016.4min
  Episode 3800/10000 | Reward: 0.427 | ETA: 9858.3min
  Episode 3900/10000 | Reward: 0.432 | ETA: 9700.2min
  Episode 4000/10000 | Reward: 0.386 | ETA: 9542.9min
