
Running SBMM for 10000 episodes...
  Episode 100/10000 | Reward: 0.000 | ETA: 17560.6min
  Episode 200/10000 | Reward: 0.000 | ETA: 19924.9min
  Episode 300/10000 | Reward: 0.000 | ETA: 21098.0min
  Episode 400/10000 | Reward: 0.000 | ETA: 21682.8min
  Episode 500/10000 | Reward: 0.000 | ETA: 21961.5min
  Episode 600/10000 | Reward: 0.002 | ETA: 22064.1min
  Episode 700/10000 | Reward: 0.001 | ETA: 22060.0min
  Episode 800/10000 | Reward: 0.000 | ETA: 21995.7min
  Episode 900/10000 | Reward: 0.000 | ETA: 21897.2min
  Episode 1000/10000 | Reward: 0.000 | ETA: 21764.7min
  Episode 1100/10000 | Reward: 0.000 | ETA: 21606.0min
  Episode 1200/10000 | Reward: 0.000 | ETA: 21436.0min
  Episode 1300/10000 | Reward: 0.000 | ETA: 21253.5min
  Episode 1400/10000 | Reward: 0.000 | ETA: 21059.4min
  Episode 1500/10000 | Reward: 0.000 | ETA: 20853.4min
  Episode 1600/10000 | Reward: 0.000 | ETA: 20640.7min
  Episode 1700/10000 | Reward: 0.000 | ETA: 20423.6min
  Episode 1800/10000 | Reward: 0.000 | ETA: 20202.0min
  Episode 1900/10000 | Reward: 0.000 | ETA: 19976.1min
  Episode 2000/10000 | Reward: 0.000 | ETA: 19747.2min
  Episode 2100/10000 | Reward: 0.000 | ETA: 19516.5min
  Episode 2200/10000 | Reward: 0.000 | ETA: 19283.9min
  Episode 2300/10000 | Reward: 0.000 | ETA: 19049.7min
  Episode 2400/10000 | Reward: 0.000 | ETA: 18812.7min
  Episode 2500/10000 | Reward: 0.000 | ETA: 18574.6min
