
Running Diverse for 10000 episodes...
  Episode 100/10000 | Reward: 0.356 | ETA: 15061.8min
  Episode 200/10000 | Reward: 0.341 | ETA: 15387.2min
  Episode 300/10000 | Reward: 0.326 | ETA: 15473.2min
  Episode 400/10000 | Reward: 0.324 | ETA: 15500.3min
  Episode 500/10000 | Reward: 0.307 | ETA: 15459.1min
  Episode 600/10000 | Reward: 0.309 | ETA: 15396.3min
  Episode 700/10000 | Reward: 0.307 | ETA: 15309.4min
  Episode 800/10000 | Reward: 0.298 | ETA: 15212.3min
  Episode 900/10000 | Reward: 0.292 | ETA: 15103.3min
  Episode 1000/10000 | Reward: 0.277 | ETA: 14989.8min
  Episode 1100/10000 | Reward: 0.285 | ETA: 14871.6min
  Episode 1200/10000 | Reward: 0.270 | ETA: 14749.5min
  Episode 1300/10000 | Reward: 0.277 | ETA: 14627.0min
  Episode 1400/10000 | Reward: 0.273 | ETA: 14499.2min
  Episode 1500/10000 | Reward: 0.274 | ETA: 14362.9min
  Episode 1600/10000 | Reward: 0.270 | ETA: 14221.6min
  Episode 1700/10000 | Reward: 0.270 | ETA: 14082.6min
  Episode 1800/10000 | Reward: 0.270 | ETA: 13938.8min
  Episode 1900/10000 | Reward: 0.261 | ETA: 13795.4min
  Episode 2000/10000 | Reward: 0.259 | ETA: 13648.6min
  Episode 2100/10000 | Reward: 0.261 | ETA: 13498.3min
  Episode 2200/10000 | Reward: 0.259 | ETA: 13348.9min
  Episode 2300/10000 | Reward: 0.252 | ETA: 13199.0min
  Episode 2400/10000 | Reward: 0.257 | ETA: 13045.9min
  Episode 2500/10000 | Reward: 0.254 | ETA: 12891.7min
  Episode 2600/10000 | Reward: 0.252 | ETA: 12734.7min
  Episode 2700/10000 | Reward: 0.253 | ETA: 12577.0min
  Episode 2800/10000 | Reward: 0.246 | ETA: 12418.3min
  Episode 2900/10000 | Reward: 0.246 | ETA: 12258.8min
  Episode 3000/10000 | Reward: 0.244 | ETA: 12099.4min
  Episode 3100/10000 | Reward: 0.241 | ETA: 11939.6min
  Episode 3200/10000 | Reward: 0.246 | ETA: 11778.9min
  Episode 3300/10000 | Reward: 0.238 | ETA: 11618.6min
  Episode 3400/10000 | Reward: 0.236 | ETA: 11456.6min
  Episode 3500/10000 | Reward: 0.231 | ETA: 11293.5min
  Episode 3600/10000 | Reward: 0.234 | ETA: 11131.4min
